tax	CM-NTC-002-CTRL	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	GRO-70-DRS-S15	HAM-17-MGE-S5	HAM-67-MGE-S12	IRI-16-MGE-S1	JAR-2-DRS-S3	JAR-2-MGE-S4	JAR-3-DRS-S18	JAR-3-MGE-S19	JAR-44-MGE-S10	JOA-3-MGE-S23	KOR-44-MGE-S8	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	MAR-41-MGE-S9	WOL-44-MGE-S6	WOL-70-MGE-S2	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	0	3	0	1	90	31	4	19	24	47	19	7	8	51	3	117	0	1	19	24	0	2	470
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	0	0	0	7	13	10	64	11	83	8	7	18	14	6	24	29	7	64	1	2	7	1	14	24	414
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	0	0	0	348	0	0	0	0	0	0	0	2	2	0	0	58	0	1	0	0	0	0	411
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	0	0	0	87	97	90	0	0	0	2	2	1	4	0	0	0	0	0	6	1	65	31	0	0	386
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	0	0	0	0	1	6	329	0	0	5	5	1	3	1	0	1	0	0	0	0	4	24	380
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	0	0	0	2	0	0	24	22	134	8	14	5	5	2	31	16	0	0	9	15	0	3	39	43	372
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	0	0	0	2	10	8	38	8	39	15	7	34	15	9	14	24	4	56	6	6	8	10	24	29	366
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	0	0	0	0	1	0	56	10	59	5	3	8	13	4	17	31	7	45	6	6	9	3	21	27	331
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	0	0	0	0	0	0	7	15	83	0	0	2	0	8	14	8	0	15	0	0	0	0	54	119	325
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	0	0	0	1	1	2	19	1	180	3	12	7	5	1	21	5	3	3	5	10	6	2	16	12	315
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	81	220	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	306
